Tail_Number,count,Tail_Number_Grupo
N578NN,7472,3
N8546V,7472,3
N929EV,7470,3
N8522P,7470,3
N8504G,7470,3
N8512U,7469,3
N8558Z,7468,3
N7822A,7465,3
N737JW,7464,3
N8557Q,7464,3
N7868K,7463,3
N7840A,7461,3
N586NN,7459,3
N580NN,7456,3
N967SW,7456,3
N617AE,7455,3
N554NN,7453,3
N564NN,7451,3
N195SY,7451,3
N8509U,7450,3
N8532S,7449,3
N600NN,7449,3
N8543Z,7446,3
N8544Z,7440,3
N8517F,7440,3
N597NN,7439,3
N609AS,7439,3
N8531Q,7438,3
N720WN,7435,3
N8507C,7433,3
N8529Z,7432,3
N8547V,7430,3
N8520Q,7428,3
N185SY,7425,3
N8545V,7425,3
N568NN,7424,3
N8554X,7423,3
N982SW,7423,3
N8652B,7421,3
N973SW,7419,3
N8559Q,7418,3
N8530W,7417,3
N696AE,7416,3
N8501V,7415,3
N8503A,7414,3
N8552Z,7413,3
N8549Z,7411,3
N452QX,7409,3
N8536Z,7408,3
N684JW,7407,3
N8555Z,7407,3
N8644C,7406,3
N8548P,7406,3
N176SY,7406,3
N8646B,7404,3
N8657B,7402,3
N572NN,7401,3
N928AE,7401,3
N8689C,7398,3
N565NN,7394,3
N919SW,7393,3
N8556Z,7393,3
N8502Z,7393,3
N622AE,7392,3
N8654B,7388,3
N188SY,7386,3
N426QX,7385,3
N8541W,7382,3
N8668A,7382,3
N8551Q,7381,3
N8681M,7380,3
N679AE,7379,3
N8658A,7378,3
N8560Z,7378,3
N548NN,7377,3
N8699A,7375,3
N8523W,7374,3
N8540V,7373,3
N960SW,7371,3
N8535S,7370,3
N900AE,7368,3
N937EV,7367,3
N184SY,7363,3
N8678E,7362,3
N171SY,7362,3
N8627B,7359,3
N549NN,7358,3
N189SY,7356,3
N869AS,7356,3
N194SY,7355,3
N8528Q,7354,3
N181SY,7352,3
N550NN,7352,3
N187SY,7351,3
N693AE,7350,3
N599NN,7347,3
N558NN,7344,3
N8676A,7343,3
N8692F,7341,3
N8650F,7341,3
N8510E,7340,3
N592NN,7340,3
N8533S,7339,3
N8661A,7339,3
N957SW,7338,3
N8671D,7337,3
N903SW,7334,3
N8660A,7331,3
N8648A,7330,3
N8687A,7328,3
N8688J,7327,3
N571NN,7325,3
N980SW,7323,3
N598NN,7322,3
N8670A,7321,3
N8561Z,7320,3
N552NN,7320,3
N8694E,7318,3
N962SW,7317,3
N8649A,7317,3
N979SW,7316,3
N595NN,7314,3
N579NN,7313,3
N8696E,7311,3
N583NN,7309,3
N8683D,7308,3
N8672F,7306,3
N8684F,7305,3
N191SY,7304,3
N186SY,7303,3
N752SW,7303,3
N8534Z,7302,3
N8629A,7299,3
N8674B,7294,3
N556NN,7290,3
N590NN,7288,3
N8691A,7288,3
N8673F,7286,3
N8659D,7285,3
N472CA,7284,3
N8675A,7281,3
N8643A,7280,3
N197SY,7278,3
N563NN,7276,3
N8682B,7275,3
N8635F,7275,3
N174SY,7274,3
N8695D,7273,3
N711HK,7270,3
N939AE,7269,3
N8664J,7265,3
N8638A,7264,3
N8697C,7264,3
N8685B,7264,3
N639AE,7263,3
N8619F,7261,3
N170SY,7261,3
N8679A,7260,3
N8662F,7257,3
N561NN,7254,3
N8647A,7253,3
N8550Q,7253,3
N978SW,7251,3
N8562Z,7251,3
N668HH,7249,3
N8653A,7248,3
N8640D,7248,3
N8514F,7245,3
N175SY,7243,3
N8693A,7240,3
N692AE,7240,3
N173SY,7240,3
N481HA,7239,3
N7830A,7237,3
N8680C,7237,3
N565WN,7235,3
N183SY,7234,3
N8669B,7233,3
N935AE,7232,3
N196SY,7231,3
N8645A,7226,3
N8630B,7222,3
N8606C,7216,3
N8677A,7215,3
N8637A,7213,3
N8690A,7213,3
N8610A,7213,3
N680AE,7209,3
N8639B,7208,3
N685AE,7206,3
N714CB,7204,3
N8642E,7204,3
N7727A,7203,3
N8633A,7201,3
N8565Z,7198,3
N8563Z,7198,3
N906AE,7197,3
N959SW,7193,3
N472WN,7192,3
N8663A,7191,3
N689EC,7188,3
N8655D,7186,3
N8631A,7185,3
N751YX,7183,3
N978AT,7179,3
N925AT,7179,3
N662EH,7177,3
N920SW,7176,3
N670AE,7173,3
N8641B,7173,3
N933EV,7170,3
N177SY,7166,3
N8614M,7164,3
N925SW,7164,3
N547NN,7163,3
N750YX,7163,3
N932AE,7162,3
N259SY,7161,3
N466WN,7160,3
N663AR,7159,3
N576NN,7159,3
N8667D,7158,3
N697AB,7156,3
N8632A,7156,3
N500WR,7156,3
N8665D,7153,3
N8607M,7149,3
N731YX,7146,3
N910SW,7139,3
N594NN,7138,3
N7728D,7136,3
N8616C,7136,3
N7736A,7135,3
N8628A,7129,3
N902BC,7129,3
N8611F,7129,3
N743YX,7127,3
N941LT,7125,3
N661JA,7125,3
N747YX,7124,3
N8621A,7123,3
N963SW,7122,3
N672AE,7120,3
N979AT,7118,3
N669MB,7118,3
N7725A,7115,3
N664MS,7110,3
N8602F,7110,3
N986SW,7108,3
N931AE,7107,3
N691AE,7105,3
N519AE,7105,3
N8600F,7099,3
N928AT,7098,3
N182SY,7098,3
N624QX,7098,3
N455WN,7097,3
N8564Z,7097,3
N256SY,7096,3
N745YX,7093,3
N625QX,7093,3
N257SY,7091,3
N896AT,7090,3
N946SW,7087,3
N918AE,7085,3
N8634A,7084,3
N8622A,7084,3
N7751A,7083,3
N8626B,7082,3
N7741C,7081,3
N626AE,7077,3
N460WN,7076,3
N952AT,7075,3
N630QX,7074,3
N451WN,7074,3
N725YX,7072,3
N981AT,7072,3
N8613K,7071,3
N623AE,7069,3
N653AE,7068,3
N989AT,7066,3
N8617E,7066,3
N553NN,7066,3
N991AT,7064,3
N633AE,7064,3
N8609A,7062,3
N732YX,7062,3
N990AT,7061,3
N995AT,7060,3
N712SW,7057,3
N445WN,7055,3
N8601C,7055,3
N251SY,7055,3
N468WN,7054,3
N718SW,7051,3
N993AT,7050,3
N448WN,7049,3
N7887A,7048,3
N676AE,7047,3
N682AE,7047,3
N657AE,7046,3
N271LV,7043,3
N8567Z,7043,3
N905SW,7043,3
N971SW,7042,3
N958SW,7040,3
N8620H,7040,3
N745SW,7036,3
N8625A,7036,3
N632AE,7035,3
N8612K,7033,3
N924SW,7031,3
N7811F,7030,3
N7733B,7029,3
N593ML,7027,3
N8566Z,7026,3
N922AE,7026,3
N733YX,7025,3
N622AS,7024,3
N628QX,7023,3
N969SW,7021,3
N947SW,7016,3
N627QX,7016,3
N996AT,7015,3
N555LV,7015,3
N7820L,7014,3
N644AE,7013,3
N629QX,7013,3
N278SY,7011,3
N744YX,7011,3
N616AE,7010,3
N982AT,7009,3
N8618N,7007,3
N652RS,7004,3
N564WN,7003,3
N240SY,7001,3
N260SY,7001,3
N459WN,6997,3
N8624J,6997,3
N456WN,6996,3
N8615E,6996,3
N746YX,6995,3
N926SW,6995,3
N8604K,6992,3
N647AE,6992,3
N556WN,6991,3
N675AE,6989,3
N261SY,6988,3
N740YX,6987,3
N686AE,6986,3
N7746C,6986,3
N450WN,6985,3
N620AE,6984,3
N539EA,6983,3
N654AE,6982,3
N717JL,6982,3
N729YX,6981,3
N656AE,6980,3
N241SY,6979,3
N7743B,6978,3
N748YX,6973,3
N980AT,6973,3
N741YX,6971,3
N8623F,6971,3
N275SY,6970,3
N7744A,6970,3
N917SW,6970,3
N7722B,6969,3
N466SW,6966,3
N8568Z,6965,3
N460SW,6962,3
N695AE,6960,3
N926AT,6957,3
N7833A,6956,3
N923SW,6954,3
N786SK,6953,3
N620QX,6952,3
N641AE,6947,3
N728YX,6946,3
N730YX,6943,3
